Waf: Entering directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.553s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	13.6	14.2	16.4	15.2	13.6	16.6	11.2	18.2	16.4	13	14.8	13.4	15	19.2	15	16.6	13.4	13.4	10	12.8
61	424	424	424	424	424	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416
62	432	432	432	432	432	416	416	416	416	416	416	416	416	416	424	424	424	424	424	424
63	408	408	408	408	408	432	432	432	432	432	432	432	432	432	424	416	424	408	408	408
64	432	432	432	432	432	432	432	424	408	408	408	408	408	408	416	424	416	432	432	432
65	424	424	424	424	408	408	408	416	432	432	432	432	432	432	424	424	424	424	424	424
66	416	416	416	416	432	432	432	424	432	432	424	408	408	408	416	416	416	416	416	416
67	424	424	424	424	424	424	424	424	416	408	416	432	432	432	424	424	424	424	424	424
68	416	416	416	416	416	416	416	424	424	432	432	432	432	432	432	432	424	416	416	416
69	424	424	424	424	424	424	424	424	424	424	424	424	424	424	408	424	416	424	424	424
70	432	432	432	432	432	432	408	408	408	408	408	408	408	408	432	416	432	432	432	432
71	408	408	408	408	408	408	432	432	432	432	432	432	432	432	408	424	424	408	408	408
72	432	432	432	432	432	424	408	408	432	408	408	408	408	408	432	416	416	432	432	432
73	424	424	424	424	424	416	432	432	408	432	432	432	432	432	424	424	424	424	424	424
74	416	416	416	416	416	432	432	432	432	432	432	416	408	408	416	416	416	416	416	416
75	424	424	424	424	424	424	424	408	416	408	408	424	432	432	424	424	424	424	424	424
76	416	416	416	416	416	416	416	432	424	432	432	432	432	432	416	416	416	416	416	416
77	424	424	424	424	424	424	424	416	424	424	424	408	408	408	424	424	424	424	424	424
78	416	416	416	416	416	416	416	424	416	416	416	432	432	432	432	432	424	416	416	416
79	424	424	424	424	424	424	424	424	424	424	424	424	424	424	408	424	416	424	424	424
80	432	432	432	416	416	416	416	416	416	416	416	416	416	416	432	416	432	432	432	432
81	408	408	408	424	424	424	424	424	424	424	424	424	424	424	424	424	424	424	424	408
82	432	432	432	432	432	432	432	416	424	416	416	416	416	416	416	416	416	416	416	432
83	424	424	424	424	424	408	408	424	416	424	424	424	424	424	424	424	424	424	424	424
84	416	416	416	416	416	432	432	416	432	432	432	432	416	416	416	416	416	416	416	416
85	424	424	424	424	424	424	424	440	424	424	408	408	424	424	424	424	424	424	424	424
86	416	416	416	416	416	416	416	416	416	416	432	432	432	432	432	432	432	424	416	416
87	424	424	424	424	424	424	424	424	424	424	424	424	416	408	408	408	408	416	424	424
88	416	416	416	416	416	416	416	416	416	416	416	416	424	432	432	432	432	432	432	416
89	424	424	424	424	424	424	424	424	424	424	424	424	424	424	424	424	432	432	408	424
90	432	432	432	432	432	432	424	416	424	416	416	416	416	416	416	416	408	408	432	432
91	408	408	408	408	408	408	416	424	416	424	424	424	424	424	424	424	432	432	432	416
92	432	432	432	432	432	432	432	424	416	416	416	416	416	416	416	416	408	408	408	424
93	424	424	424	424	424	424	416	416	424	424	424	424	424	424	424	424	424	424	424	424
94	416	416	416	416	416	416	424	432	432	432	432	432	432	432	416	424	416	416	416	416
95	424	424	424	424	424	424	424	424	424	424	424	424	408	408	424	416	424	424	424	424
96	416	416	416	416	416	416	416	416	416	416	416	416	432	432	432	432	432	416	416	416
97	424	424	424	424	424	424	424	424	424	424	424	424	424	424	408	416	408	424	424	424
98	432	432	432	432	416	416	416	416	416	416	416	416	416	416	432	424	432	432	432	432
99	408	408	408	408	424	424	424	424	424	424	424	424	424	424	408	432	432	432	432	408
100	432	432	432	432	432	432	432	432	432	432	416	416	416	416	432	408	408	408	408	432
101	432	432	424	408	408	408	408	408	408	408	424	424	424	424	432	424	432	432	432	432
102	408	408	416	432	432	432	432	432	432	432	432	432	432	424	408	416	408	408	408	408
103	432	432	432	432	432	432	416	408	408	408	408	408	408	416	432	424	432	432	432	432
104	408	408	408	408	408	408	424	432	432	432	432	432	432	432	424	432	416	408	408	408
105	432	432	432	432	432	432	432	432	432	416	408	408	408	408	408	408	424	432	432	432
106	424	424	416	408	408	408	408	408	408	424	432	432	432	432	432	432	424	424	424	424
