Waf: Entering directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/Documents/Jiaming/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.490s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	15.2	13.8	13.8	13
61	1240	1232	1232	1232
62	1240	1240	1240	1240
63	1248	1248	1248	1248
64	1248	1248	1248	1248
65	1248	1248	1248	1248
66	1240	1240	1240	1240
67	1248	1248	1248	1248
68	1248	1248	1248	1248
69	1248	1248	1248	1248
70	1240	1240	1240	1240
71	1248	1248	1248	1248
72	1248	1248	1248	1248
73	1256	1256	1240	1240
74	1240	1240	1240	1240
75	1248	1248	1248	1248
76	1248	1248	1248	1248
77	1248	1248	1248	1248
78	1240	1240	1240	1240
79	1248	1248	1248	1248
80	1240	1240	1240	1240
81	1248	1248	1248	1248
82	1248	1248	1248	1248
83	1240	1240	1240	1240
84	1248	1248	1248	1248
85	1248	1248	1248	1248
86	1248	1248	1248	1248
87	1240	1240	1240	1240
88	1248	1248	1248	1248
89	1248	1248	1248	1248
90	1240	1240	1240	1240
91	1248	1248	1248	1248
92	1248	1248	1248	1248
93	1240	1240	1240	1240
94	1272	1272	1224	1224
95	1248	1248	1248	1248
96	1240	1240	1240	1240
97	1248	1248	1248	1248
98	1248	1248	1248	1248
99	1248	1248	1248	1248
100	1248	1248	1248	1248
101	1240	1240	1240	1240
102	1248	1248	1248	1248
103	1248	1248	1248	1248
104	1240	1240	1240	1240
105	1248	1248	1248	1248
106	1248	1248	1248	1248
107	1248	1248	1248	1248
108	1240	1240	1240	1240
109	1248	1248	1248	1248
110	1248	1248	1248	1248
111	1240	1240	1240	1240
112	1248	1248	1248	1248
113	1248	1248	1248	1248
114	1240	1240	1240	1240
115	1248	1248	1248	1248
116	1248	1248	1248	1248
117	1240	1240	1240	1240
118	1248	1248	1248	1248
119	1248	1248	1248	1248
120	1240	1240	1240	1240
avg	1246	1245.87	1244.8	1244.8
delay	498.622	498.762	498.758	498.758
loss	0.3315	0.331572	0.332143	0.332143
Command ['/home/synrg/Documents/Jiaming/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs0', '--datarate=2e6', '--RngRun=125'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
