Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.629s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	11	13.8	16.2	18	12.4	12.6	14.8	14.2	10.8	15.8	15.4	17.2	14	13	18.6	16.4	13.2	16.4	13.4	16
61	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	408
62	416	416	416	416	416	424	424	424	424	424	424	424	424	424	424	424	424	416	400	408
63	432	432	432	432	432	424	424	424	424	424	424	424	416	408	408	408	408	416	432	432
64	432	408	408	408	408	416	416	416	416	416	416	416	424	432	432	432	432	432	432	432
65	408	432	432	432	432	424	424	424	424	424	424	424	424	424	424	424	408	408	408	408
66	432	432	432	432	432	424	416	416	416	416	416	416	416	416	416	416	432	432	432	432
67	424	424	424	424	424	416	424	424	424	424	424	424	424	424	424	424	424	424	424	424
68	416	416	416	416	416	432	432	432	432	432	432	424	416	416	416	416	416	416	416	416
69	424	424	424	424	424	424	424	424	424	424	416	416	424	424	424	424	424	424	424	424
70	408	408	408	408	408	416	416	416	416	416	424	432	432	432	432	432	432	432	432	424
71	432	432	432	432	432	424	424	424	424	424	424	424	416	408	408	408	408	408	408	416
72	432	432	432	432	408	416	416	416	416	416	416	416	424	432	432	432	432	432	432	432
73	408	408	408	408	432	424	424	424	424	424	424	424	424	424	424	424	424	408	408	408
74	432	432	432	432	432	432	424	416	416	416	416	416	416	416	416	416	416	432	432	432
75	424	424	424	424	424	408	416	424	424	424	424	424	424	424	424	424	424	424	424	424
76	416	416	416	416	416	432	432	432	432	432	416	416	416	416	416	416	416	416	416	416
77	424	424	424	424	424	424	416	408	416	408	424	424	424	424	424	424	424	424	424	424
78	416	416	416	416	416	416	424	432	424	432	432	432	432	432	416	416	416	416	416	416
79	424	424	424	424	424	424	424	424	424	424	424	416	408	408	424	424	424	424	424	424
80	416	416	416	416	416	416	416	416	416	416	416	424	432	432	432	432	432	424	416	416
81	424	424	424	424	424	424	424	424	424	424	424	424	424	424	424	416	416	416	424	424
82	432	432	432	432	424	416	416	416	416	416	416	416	416	416	416	424	424	432	432	432
83	424	424	408	408	416	424	424	424	424	424	424	424	424	424	424	424	424	424	424	408
84	416	416	432	432	432	432	432	424	432	416	416	416	416	416	416	416	416	416	416	432
85	424	424	424	424	424	424	408	416	408	424	424	424	424	424	424	424	424	424	424	424
86	416	416	416	416	416	416	432	432	432	432	432	432	432	432	432	424	416	416	416	416
87	424	424	424	424	424	432	424	408	432	432	416	408	408	408	408	416	424	424	424	424
88	416	416	416	416	416	408	416	432	408	408	424	432	432	432	432	432	432	432	424	416
89	424	424	424	424	424	432	432	432	432	432	432	416	408	408	408	408	408	408	416	424
90	432	432	432	432	432	416	408	408	408	408	408	424	432	432	432	432	432	432	432	432
91	408	408	408	408	408	424	432	432	432	432	432	432	432	432	408	408	408	408	408	408
92	432	432	432	432	432	408	408	408	408	408	408	408	408	408	432	432	432	432	432	432
93	408	408	408	408	408	424	424	424	424	424	424	424	424	424	424	424	424	424	416	424
