Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.770s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
60	14.2	11.8	15.4	15.6
61	1240	1232	1232	1232
62	1240	1240	1240	1240
63	1248	1248	1248	1248
64	1264	1264	1232	1232
65	1248	1248	1248	1248
66	1248	1248	1248	1248
67	1240	1240	1240	1240
68	1248	1248	1248	1248
69	1248	1248	1248	1248
70	1240	1240	1240	1240
71	1248	1248	1248	1248
72	1240	1240	1240	1240
73	1248	1248	1248	1248
74	1248	1248	1248	1248
75	1248	1248	1248	1248
76	1240	1240	1240	1240
77	1248	1248	1248	1248
78	1248	1248	1248	1248
79	1240	1240	1240	1240
80	1248	1248	1248	1248
81	1248	1248	1248	1248
82	1248	1248	1248	1248
83	1240	1240	1240	1240
84	1248	1248	1248	1248
85	1248	1248	1248	1248
86	1248	1248	1248	1248
87	1240	1240	1240	1240
88	1248	1248	1248	1248
89	1248	1248	1248	1248
90	1240	1240	1240	1240
91	1248	1248	1248	1248
92	1248	1248	1248	1248
93	1248	1248	1248	1248
94	1240	1240	1240	1240
95	1248	1248	1248	1248
96	1248	1248	1248	1248
97	1240	1240	1240	1240
98	1248	1248	1248	1248
99	1248	1248	1248	1248
100	1248	1248	1248	1248
101	1240	1240	1240	1240
102	1248	1248	1248	1248
103	1248	1248	1248	1248
104	1240	1240	1240	1240
105	1248	1248	1248	1248
106	1248	1248	1248	1248
107	1240	1240	1240	1240
108	1248	1248	1248	1248
109	1248	1248	1248	1248
110	1240	1240	1240	1240
111	1248	1248	1248	1248
112	1248	1248	1248	1248
113	1240	1240	1240	1240
114	1248	1248	1248	1248
115	1248	1248	1248	1248
116	1248	1248	1248	1248
117	1240	1240	1240	1240
118	1248	1248	1248	1248
119	1248	1248	1248	1248
120	1240	1240	1240	1240
avg	1245.73	1245.6	1245.07	1245.07
delay	498.616	498.756	498.754	498.754
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma', '--ofdmaEnabled=true', '--clNum=4', '--startTime=60', '--totalTime=120', '--dataMode=HeMcs0', '--datarate=2e6', '--RngRun=74'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
