Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.329s)
CreateVariables () DONE !!!
Creating 6 APs 40.00 and 70.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 200.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5
11.00	-1.00	-1.00	0.00	-1.00	-1.00	0.68
12.00	-1.00	-1.00	0.74	-1.00	-1.00	0.99
13.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
14.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
15.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
16.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
17.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
18.00	-1.00	-1.00	0.99	-1.00	-1.00	1.00
19.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
20.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00
21.00	-1.00	-1.00	1.99	-1.00	-1.00	1.99
22.00	-1.00	-1.00	2.00	-1.00	-1.00	1.99
23.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
24.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
25.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
26.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
27.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
28.00	-1.00	-1.00	1.99	-1.00	-1.00	1.99
29.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
30.00	-1.00	-1.00	2.00	-1.00	-1.00	2.00
31.00	-1.00	-1.00	2.99	-1.00	-1.00	3.00
32.00	-1.00	-1.00	3.00	-1.00	-1.00	2.99
33.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
34.00	-1.00	-1.00	2.99	-1.00	-1.00	3.00
35.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
36.00	-1.00	-1.00	3.00	-1.00	-1.00	2.99
37.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
38.00	-1.00	-1.00	2.99	-1.00	-1.00	3.00
39.00	-1.00	-1.00	3.00	-1.00	-1.00	3.00
40.00	-1.00	-1.00	3.00	-1.00	-1.00	2.99
41.00	-1.00	-1.00	3.98	-1.00	-1.00	4.00
42.00	-1.00	-1.00	4.00	-1.00	-1.00	3.99
43.00	-1.00	-1.00	4.00	-1.00	-1.00	4.00
44.00	-1.00	-1.00	1.64	-1.00	-1.00	4.00
45.00	-1.00	-1.00	1.66	-1.00	-1.00	3.99
46.00	-1.00	-1.00	1.46	-1.00	-1.00	4.00
47.00	-1.00	-1.00	2.25	-1.00	-1.00	3.98
48.00	-1.00	-1.00	0.52	-1.00	-1.00	3.99
49.00	-1.00	-1.00	0.00	-1.00	-1.00	4.00
50.00	-1.00	-1.00	2.60	-1.00	-1.00	3.97
51.00	-1.00	-1.00	2.24	-1.00	-1.00	4.99
52.00	-1.00	-1.00	6.06	-1.00	-1.00	4.99
53.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
54.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
55.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
56.00	-1.00	-1.00	5.00	-1.00	-1.00	5.00
57.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
58.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
59.00	-1.00	-1.00	5.00	-1.00	-1.00	4.99
60.00	-1.00	-1.00	4.99	-1.00	-1.00	5.00
61.00	-1.00	-1.00	3.70	-1.00	-1.00	5.71
62.00	-1.00	-1.00	0.29	-1.00	-1.00	6.24
63.00	-1.00	-1.00	0.00	-1.00	-1.00	6.01
64.00	-1.00	-1.00	0.00	-1.00	-1.00	5.99
65.00	-1.00	-1.00	0.00	-1.00	-1.00	6.01
66.00	-1.00	-1.00	0.00	-1.00	-1.00	5.99
67.00	-1.00	-1.00	0.00	-1.00	-1.00	6.01
68.00	-1.00	-1.00	0.00	-1.00	-1.00	5.99
69.00	-1.00	-1.00	0.00	-1.00	-1.00	6.01
70.00	-1.00	-1.00	0.00	-1.00	-1.00	5.99
71.00	-1.00	-1.00	0.00	-1.00	-1.00	6.99
72.00	-1.00	-1.00	0.00	-1.00	-1.00	6.99
