Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.623s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14	cl-15	cl-16	cl-17	cl-18	cl-19	cl-20
60	16.4	14.4	12	14.6	13.8	14.4	14.4	13.2	16.2	12.8	15.4	14.6	13.6	15	16.8	17.4	16	15.8	16.4	16.4
61	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	416	408	408	408
62	432	432	432	432	432	432	408	408	432	416	408	416	416	416	416	416	416	424	424	424
63	424	424	424	424	408	408	432	432	408	424	432	424	424	424	424	424	424	424	424	424
64	416	416	416	416	432	432	432	432	432	416	408	416	416	416	416	416	416	416	416	416
65	424	424	424	424	424	424	424	408	408	424	432	424	424	424	424	424	424	424	424	424
66	416	416	416	416	416	416	416	432	432	432	432	416	424	416	416	416	416	416	416	416
67	424	424	424	424	424	424	424	408	408	408	408	424	416	424	424	424	424	424	424	424
68	416	416	408	416	416	416	416	432	432	432	432	432	432	432	432	432	416	416	416	416
69	424	424	432	424	424	424	424	424	424	424	424	408	408	408	408	408	424	424	424	424
70	432	432	432	424	408	408	408	408	408	408	408	432	432	432	432	432	432	432	432	432
71	408	408	408	416	432	432	432	432	432	432	432	424	424	416	408	408	408	408	408	408
72	432	432	432	432	432	424	408	408	408	408	408	416	416	424	432	432	432	432	432	432
73	408	408	408	408	408	416	432	432	432	432	432	424	424	424	424	424	424	408	408	408
74	432	432	432	432	432	432	408	408	408	408	408	416	416	416	416	416	416	432	432	432
75	424	424	408	408	408	408	432	432	432	432	432	424	424	424	424	424	424	424	424	424
76	416	416	432	432	432	432	432	432	432	416	408	416	416	416	416	416	416	416	416	416
77	424	424	424	424	424	416	424	408	408	424	432	424	424	424	424	424	424	424	424	424
78	416	416	416	416	416	424	416	432	432	432	432	432	432	432	416	416	416	416	416	416
79	424	424	424	424	424	424	424	424	424	424	424	416	416	408	424	424	424	424	424	424
80	416	416	408	416	416	416	416	416	416	416	416	424	424	432	432	432	432	432	424	416
81	424	424	432	424	424	424	424	424	424	424	424	424	424	424	424	424	416	408	416	424
82	432	432	432	432	424	416	416	416	416	416	416	416	416	416	416	416	424	432	432	432
83	424	424	416	424	416	424	424	424	424	424	424	424	424	424	424	424	424	424	424	424
84	416	416	424	416	432	432	432	432	424	416	416	416	416	416	416	416	416	416	416	416
85	424	424	424	424	424	416	424	408	416	424	424	424	424	424	424	424	424	424	424	424
86	416	416	416	416	416	424	416	432	432	432	432	432	416	416	416	416	416	416	416	416
87	424	424	424	424	424	424	424	424	424	424	424	408	424	424	424	424	424	424	424	424
88	416	416	408	416	416	416	408	416	416	416	416	432	432	432	432	432	432	432	424	416
89	424	424	432	424	424	424	432	424	424	424	424	432	432	432	432	408	408	408	416	424
90	432	432	432	432	432	416	424	416	416	416	416	408	408	408	408	432	432	432	432	432
91	408	408	408	408	408	424	416	424	424	424	424	432	432	432	432	432	432	432	432	408
92	432	432	432	432	432	432	432	432	432	432	424	408	408	408	408	408	408	408	408	432
93	424	424	424	424	424	424	424	416	408	408	416	424	424	424	424	424	424	424	424	424
94	416	416	416	416	416	416	416	424	432	432	432	424	432	432	424	416	424	416	416	416
95	424	424	424	424	424	424	424	416	424	424	424	416	408	408	416	424	416	424	424	424
96	416	416	416	416	416	416	416	424	416	416	416	432	432	432	432	432	432	432	432	424
97	424	424	424	424	424	424	424	424	424	424	424	432	432	432	432	424	408	408	408	416
